date,time,week,location
2020-08-12,16:30:00,33,1
2020-08-12,17:00:00,33,1
2020-08-12,17:30:00,33,1
2020-08-12,18:00:00,33,1
2020-08-13,08:00:00,33,1
2020-08-13,08:30:00,33,1
2020-08-13,09:00:00,33,1
2020-08-13,09:30:00,33,1
2020-08-13,10:00:00,33,1
2020-08-13,10:30:00,33,1
2020-08-13,11:00:00,33,1
2020-08-13,11:30:00,33,1
2020-08-13,12:00:00,33,1
2020-08-13,12:30:00,33,1
2020-08-13,13:00:00,33,1
2020-08-13,13:30:00,33,1
2020-08-13,14:00:00,33,1
2020-08-13,14:30:00,33,1
2020-08-13,15:00:00,33,1
2020-08-13,15:30:00,33,1
2020-08-13,16:00:00,33,1
2020-08-13,16:30:00,33,1
2020-08-13,17:00:00,33,1
2020-08-13,17:30:00,33,1
2020-08-13,18:00:00,33,1
2020-08-14,08:00:00,33,1
2020-08-14,08:30:00,33,1
2020-08-14,09:00:00,33,1
2020-08-14,09:30:00,33,1
2020-08-14,10:00:00,33,1
2020-08-14,10:30:00,33,1
2020-08-14,11:00:00,33,1
2020-08-14,11:30:00,33,1
2020-08-14,12:00:00,33,1
2020-08-14,12:30:00,33,1
2020-08-14,13:00:00,33,1
2020-08-14,13:30:00,33,1
2020-08-14,14:00:00,33,1
2020-08-14,14:30:00,33,1
2020-08-14,15:00:00,33,1
2020-08-14,15:30:00,33,1
2020-08-14,16:00:00,33,1
2020-08-14,16:30:00,33,1
2020-08-14,17:00:00,33,1
2020-08-14,17:30:00,33,1
2020-08-14,18:00:00,33,1
2020-08-17,08:00:00,34,1
2020-08-17,08:30:00,34,1
2020-08-17,09:00:00,34,1
2020-08-17,09:30:00,34,1
2020-08-17,10:00:00,34,1
2020-08-17,10:30:00,34,1
2020-08-17,11:00:00,34,1
2020-08-17,11:30:00,34,1
2020-08-17,12:00:00,34,1
2020-08-17,12:30:00,34,1
2020-08-17,13:00:00,34,1
2020-08-17,13:30:00,34,1
2020-08-17,14:00:00,34,1
2020-08-17,14:30:00,34,1
2020-08-17,15:00:00,34,1
2020-08-17,15:30:00,34,1
2020-08-17,16:00:00,34,1
2020-08-17,16:30:00,34,1
2020-08-17,17:00:00,34,1
2020-08-17,17:30:00,34,1
2020-08-17,18:00:00,34,1
2020-08-18,08:00:00,34,1
2020-08-18,08:30:00,34,1
2020-08-18,09:00:00,34,1
